Common Name,Scientific Name,Family,Grows in CA,Wild in CA,Cultivated in CA,Cultural Significance,Standout Visual Identifier,Kid-Friendly ID Tip,Distinguishing Features,Similar Species*,Differences from Look-Alikes*,Seasonal Timeline*,Seasonal Changes,Leaf Type*,Leaf Complexity*,Leaf Arrangement*,Leaf Shape*,Leaf Length*,Leaf Characteristics*,Autumn Leaf Color*,Needle Arrangement,Needle Length,Needle Characteristics,Flower Description*,Fruit or Cone Description*,Cone Size & Shape,Cone Position*,Seed Dispersal Mechanism*,Smell*,Bark (Young Tree),Bark (Mature Tree),Winter ID Features*,Tree Shape (Young),Tree Shape (Mature),Branch Pattern,Height Range,Growth Rate,Habitat,Region,Elevation Range,Climate Preferences,Toxicity
Alaska-cedar,Callitropsis nootkatensis,Cupressaceae,Yes,No,Unlikely,Valued by Indigenous peoples for durable wood; also known as Yellow Cedar.,"Drooping branches and grayish, stringy bark.",Looks like it's always sad with its droopy arms.,"Flat sprays of scale-like leaves; strong, spicy cedar scent.",Port Orford Cedar (*Chamaecyparis lawsoniana*),Drooping branchlets and rounder cones,"Pollen cones in spring; seed cones mature in two years, releasing seeds in fall",Minimal visual seasonal change; cones may develop.,Evergreen,Simple,Opposite,Scale-like,< 1/8 inch,"Bluish-green, overlapping scales",None,Scale-like leaves in flattened sprays,Less than 1/4 inch,"Dark green, overlapping, scaly","Small, inconspicuous cones",Small round cones (~¼ inch),"Small, round cones ~0.5 inches",Near branch tips,Wind,"Sharp, spicy cedar scent","Smooth, grayish-brown","Stringy, shredding, gray to brown",Drooping evergreen sprays and small cones,Narrow pyramid with drooping tips,Tall with weeping appearance,Horizontal with downturned tips,60–100 feet,Slow to moderate,"Cool, moist coastal forests",Pacific Northwest; cultivated in CA,"Sea level to 7,000 feet","Cool, wet climates",Non-toxic
Alder Whitebeam,Sorbus alnifolia,Rosaceae,No,No,Unlikely,"Ornamental tree in Korea and China, appreciated for autumn foliage.","Serrated, oval leaves and clusters of red berries.",Has 'berry fireworks' in fall!,Simple leaves with serrated margins; white spring flowers and red fall berries.,Mountain Ash (*Sorbus americana*),Simple leaves vs. compound in Mountain Ash,Flowers in spring; red berries mature by late summer,"White flowers in spring, berries and red foliage in fall.",Deciduous,Simple,Alternate,Oval with serrated margins,3–5 inches,Glossy green with veins,Red to orange,N/A,N/A,N/A,Clusters of white flowers,Red berry-like pomes,N/A,N/A,Birds and gravity,Mild earthy scent,"Smooth, light gray","Smooth, gray with shallow ridges","Slender twigs, red buds, persistent berries",Upright oval shape,Rounded or spreading crown,"Alternating branches, ascending",30–50 feet,Moderate,Hillsides and forests in East Asia,East Asia; rarely cultivated in U.S.,"1,000–4,000 feet",Cool-temperate climates,Non-toxic
Alderleaf Cercocarpus,Cercocarpus montanus,Rosaceae,No,No,Unlikely,Used traditionally for tools and dyes by Indigenous peoples.,Small shrub with twisted seed tails.,Its seeds look like curly pig tails!,"Small, leathery leaves and long feathery styles on seeds.",Curl-leaf Mountain Mahogany (*C. ledifolius*),"Deciduous, wider leaves, smoother bark",Tiny flowers in late spring; seeds with tails develop in summer,"Flowers in late spring, seed heads in summer.",Deciduous,Simple,Alternate,Oblong to oval,1–2 inches,"Leathery, dark green above",Yellow to dull orange,N/A,N/A,N/A,Petal-less greenish flowers,Dry seeds with feathery tails,N/A,N/A,Wind,Faint herbal scent,Smooth reddish-gray,Shreddy with age,Gray twigs and curly seed tails,"Dense, rounded shrub",Small spreading shrub/tree,"Irregular, low branching",6–15 feet,Slow to moderate,Dry slopes and canyons,Rocky Mountains and Southwest U.S.,"3,000–9,000 feet","Dry, well-drained sites",Non-toxic
American Basswood,Tilia americana,Malvaceae,No,No,Unlikely,Native tree important for bees and traditional carving.,Large heart-shaped leaves and fragrant flowers.,Big leaves shaped like valentines!,Asymmetrical leaf bases; bracts attached to flower clusters.,Littleleaf Linden (*Tilia cordata*),Larger leaves and more fragrant flowers,Fragrant flowers in early summer; fruits in late summer,"Fragrant flowers in summer, yellowing in fall.",Deciduous,Simple,Alternate,Heart-shaped,5–8 inches,"Smooth, light green, asymmetrical",Yellow,N/A,N/A,N/A,"Pale yellow, fragrant flowers",Nut-like fruits with bracts,N/A,N/A,Wind via bracts,Sweet floral during bloom,Smooth and light gray,Furrowed and ridged,"Rounded buds, hanging bracts",Pyramidal and dense,Wide and rounded crown,Ascending then spreading,60–80 feet,Moderate to fast,"Moist, fertile woodlands",Eastern North America,"Sea level to 3,000 feet","Cool, moist regions",Non-toxic
American Beech,Fagus grandifolia,Fagaceae,No,No,Unlikely,Iconic Eastern U.S. tree; wood used for furniture and flooring.,Smooth gray bark and pointed buds.,Feels like elephant skin!,Wavy-margined leaves and very smooth bark.,European Beech (*Fagus sylvatica*),Longer pointed buds and serrated leaves,Leaves emerge in spring; nuts ripen in fall,"Leaves turn golden bronze in fall, sometimes persist on twigs.",Deciduous,Simple,Alternate,Oval with wavy edge,3–5 inches,Glossy green with straight veins,Bronze to golden,N/A,N/A,N/A,Small greenish clusters,Spiny husks with triangular nuts,N/A,N/A,Gravity and animals,Faintly sweet from leaves,Smooth and gray,Smooth and gray with age,"Smooth bark, pointed buds, dried leaves",Oval or pyramidal,"Broad, rounded crown",Spreading with low branches,50–80 feet,Slow to moderate,"Moist, well-drained upland forests",Eastern North America,"Sea level to 2,500 feet","Cool, humid climates",Non-toxic
American Elm,Ulmus americana,Ulmaceae,No,No,Likely,Historic urban tree; many lost to Dutch elm disease.,Vase-like shape and deeply veined leaves.,Shaped like a giant flower vase!,Doubly serrated leaves and rough bark.,Siberian Elm (*Ulmus pumila*),"Larger, asymmetrical leaves and corky bark",Flowers before leaves in early spring; seeds drop in late spring,Leaves yellow in fall; flowers in early spring before leaves.,Deciduous,Simple,Alternate,Oval with toothed edge,4–6 inches,"Rough above, hairy beneath",Yellow,N/A,N/A,N/A,Reddish-green flowers before leaves,"Flat, round samaras",N/A,N/A,Wind,Mild grassy scent,Smooth with light vertical lines,Dark with interlacing ridges,"Zigzag twigs, corky bark",Upright with rounded crown,Tall vase-shaped with arching branches,Alternating and arching outward,60–100 feet,Fast,Moist soils near rivers and bottomlands,Eastern and Central North America,"Sea level to 2,500 feet",Temperate and humid,Non-toxic
Amur Maple,Acer ginnala,Sapindaceae,Yes,No,Likely,Popular ornamental tree from East Asia.,Three-lobed leaves with brilliant red fall color.,Leaves look like little maple tridents!,Small size; winged samaras and colorful autumn foliage.,Norway Maple (*Acer platanoides*),Narrower lobes and red samaras,Flowers in spring; red samaras ripen by summer,Bright red or orange fall color; winged seeds in summer.,Deciduous,Simple,Opposite,3-lobed,2–4 inches,"Glossy, red in fall",Red to orange,N/A,N/A,N/A,"Pale yellow, fragrant",Paired red samaras,N/A,N/A,Wind,Slightly acrid from twigs,"Smooth, light brown",Develops shallow ridges,Opposite buds and samaras,Rounded or upright,"Small, rounded tree",Opposite branching,15–20 feet,Moderate,Urban and garden settings,Native to NE Asia; cultivated widely,Low to mid elevations,Cold-hardy; adaptable to many soils,Non-toxic
Arizona Alder,Alnus oblongifolia,Betulaceae,No,No,Unlikely,Important riparian tree in Arizona and NM; soil stabilizer.,Elongated leaves and small cone-like fruits.,Its tiny pinecone fruits are fun to collect!,"Smooth bark, wavy-margined leaves, small cones.",White Alder (*Alnus rhombifolia*),Larger leaves and darker bark,Catkins in early spring; woody fruits in summer,"Catkins in spring, cone-like fruits in summer.",Deciduous,Simple,Alternate,Oval to oblong,2–5 inches,"Glossy green, slightly leathery",Pale yellow,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant","Long male catkins, short female spikes",Woody cone-like fruits,0.5 inch cone-like strobiles,At branch tips,Wind and water,Fresh earthy bark scent,Smooth and gray,Lightly fissured with age,Persistent cones and smooth bark,"Narrow, upright",Rounded crown with age,Alternate branching,30–50 feet,Moderate,Streamsides and moist canyons,Southwest U.S.,"5,000–8,000 feet","Cool, moist mountain areas",Non-toxic
Atlantic White-cedar,Chamaecyparis thyoides,Cupressaceae,Yes,No,Unlikely,Used in boat-building and early American structures.,Tightly packed blue-green scale leaves.,Its tiny leaves look like fish scales!,Blue-green foliage; small spherical cones.,Northern White-cedar (*Thuja occidentalis*),Bluer foliage and rounder cones,Pollen in spring; cones open in fall,Little seasonal change; cones develop over summer.,Evergreen,Simple,Opposite,Scale-like,< 1/4 inch,"Blue-green, aromatic",None,Scale-like in flattened sprays,< 1/8 inch,"Blue-green, aromatic when crushed",Small pollen and seed cones,Tiny round bluish cones,"Small, round ~1/4 inch cones",At branch tips,Wind,Strong cedar aroma,Smooth and reddish,Shredded and reddish-brown,Evergreen sprays and tiny cones,"Dense, conical","Narrow, conical crown","Spirally arranged, ascending",40–80 feet,Moderate,Wet acidic swamps,Eastern U.S.; cultivated in West,Lowlands,"Moist, humid climates",Non-toxic
Atlas Cedar,Cedrus atlantica,Pinaceae,Yes,No,Likely,Native to North Africa; ornamental and symbolic tree.,Blue-green needles and upright barrel cones.,Its cones stand like candles on branches!,Short needles in clusters; upright cones.,Deodar Cedar (*Cedrus deodara*),Stiffer needles and upright cones,Pollen cones in fall; seed cones mature over two years,New growth in spring; cones ripen over a year.,Evergreen,Simple,Clusters,Needle-like,1–1.5 inches,"Stiff, bluish-green, rosettes",None,Clusters on short shoots,0.5–1 inch,"Blue-green, stiff","Pollen cones in fall, upright female cones",Barrel-shaped upright cones,"2–4 inches, barrel-shaped",Upright on branches,Wind,"Woody, resinous scent",Smooth and gray,Rough and fissured,Rosettes of needles and upright cones,Symmetrical conical form,Broad and flat-topped,Horizontal tiers,40–60 feet (can reach 100+),Moderate,Ornamental landscapes,Native to Atlas Mountains; cultivated in CA,"500–7,000 feet (native)",Mediterranean; drought-tolerant,Non-toxic
