,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Young Earth Creationism,Biblical Literalism,R,R,R,R,R,NR,DB,DB,R,NR,DB,DB,DB,DB,R,R,DB,DB,DB,DB,DB,DB,DB,DB,NR,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,NR,DB,DB,R,R,R,R,DB,DB,DB,DB,DB,DB,DB,DB,NR,NR,NR,R,NR,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,,,
2,Young Earth Creationism,Appearance of Age,R,R,R,R,NR,R,DB,DB,R,NR,DB,DB,DB,DB,R,R,DB,DB,DB,DB,DB,DB,DB,DB,NR,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,NR,DB,DB,R,R,R,R,DB,DB,DB,DB,DB,DB,DB,DB,NR,NR,NR,R,NR,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,,,
3,Young Earth Creationism,Catastrophism,R,R,R,R,R,NR,DB,DB,R,NR,DB,DB,DB,DB,R,R,DB,DB,DB,DB,DB,DB,DB,DB,NR,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,NR,DB,DB,R,R,R,R,DB,DB,DB,DB,DB,DB,DB,DB,NR,NR,NR,R,NR,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,,,
4,Theistic Evolution,Evolutionary Creationism,DB,DB,DB,DB,DB,DB,R,R,NR,NR,DB,NR,NR,DB,R,NR,DB,NR,NR,NR,DB,DB,DB,DB,NR,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,R,R,R,R,R,DB,DB,DB,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,NR,NR,DB,DB,DB,DB,DB,NR,NR,,,,
5,Theistic Evolution,Progressive Creation,DB,DB,DB,DB,DB,DB,R,NR,R,NR,DB,NR,DB,DB,R,R,DB,NR,NR,NR,DB,DB,DB,DB,NR,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,R,R,R,R,R,DB,DB,DB,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,NR,NR,DB,DB,DB,DB,DB,NR,NR,,,,
6,Theistic Evolution,Teilhardian Evolution,DB,DB,DB,DB,DB,DB,R,R,R,R,DB,NR,DB,DB,R,R,DB,NR,NR,R,DB,DB,DB,NR,R,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,R,R,R,R,R,DB,DB,DB,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,NR,NR,DB,DB,DB,DB,DB,R,NR,,,,
7,Deism,Classical Deism,DB,DB,NR,DB,DB,NR,R,NR,DB,DB,R,R,R,DB,R,DB,NR,NR,NR,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,R,R,R,R,R,R,NR,DB,DB,DB,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,NR,NR,,,,
8,Deism,Modern Deism,DB,DB,NR,DB,DB,NR,R,NR,NR,NR,NR,NR,NR,DB,R,NR,NR,NR,NR,NR,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,R,R,R,R,NR,DB,DB,DB,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,NR,NR,,,,
9,Deism,Scientific Deism,DB,DB,NR,DB,DB,NR,R,NR,DB,NR,R,R,R,DB,R,DB,NR,NR,NR,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,R,R,R,R,R,R,NR,DB,DB,DB,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,NR,NR,,,,
10,Polytheism,Classical Polytheism,NR,DB,NR,NR,NR,NR,NR,NR,NR,NR,DB,DB,DB,R,DB,R,DB,NR,NR,NR,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,R,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,DB,DB,NR,DB,DB,NR,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,
